                          MNLogit Regression Results                          
==============================================================================
Dep. Variable:                 Target   No. Observations:                76518
Model:                        MNLogit   Df Residuals:                    76322
Method:                           MLE   Df Model:                          194
Date:                Tue, 11 Jun 2024   Pseudo R-squ.:                  0.5578
Time:                        12:33:09   Log-Likelihood:                -35146.
converged:                       True   LL-Null:                       -79478.
Covariance Type:            nonrobust   LLR p-value:                     0.000
==================================================================================================================
                               Target=Enrolled       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------------------------------
const                                             -0.1110   5.98e+05  -1.86e-07      1.000   -1.17e+06    1.17e+06
Previous qualification (grade)                    -0.0053      0.002     -3.292      0.001      -0.009      -0.002
Admission grade                                   -0.0020      0.001     -1.362      0.173      -0.005       0.001
Age at enrollment                                 -0.0269      0.004     -6.170      0.000      -0.035      -0.018
Curricular units 1st sem (credited)               -0.1399      0.039     -3.572      0.000      -0.217      -0.063
Curricular units 1st sem (enrolled)               -0.1114      0.043     -2.592      0.010      -0.196      -0.027
Curricular units 1st sem (evaluations)             0.0633      0.007      9.061      0.000       0.050       0.077
Curricular units 1st sem (approved)                0.1805      0.015     11.698      0.000       0.150       0.211
Curricular units 1st sem (grade)                  -0.0107      0.007     -1.495      0.135      -0.025       0.003
Curricular units 1st sem (without evaluations)    -0.0446      0.043     -1.044      0.297      -0.128       0.039
Curricular units 2nd sem (credited)               -0.1918      0.046     -4.182      0.000      -0.282      -0.102
Curricular units 2nd sem (enrolled)               -0.2748      0.046     -6.024      0.000      -0.364      -0.185
Curricular units 2nd sem (evaluations)             0.0830      0.007     12.352      0.000       0.070       0.096
Curricular units 2nd sem (approved)                0.3151      0.015     21.703      0.000       0.287       0.344
Curricular units 2nd sem (grade)                   0.1029      0.007     15.719      0.000       0.090       0.116
Curricular units 2nd sem (without evaluations)     0.0047      0.031      0.150      0.881      -0.057       0.066
Unemployment rate                                 -0.0877      0.006    -13.640      0.000      -0.100      -0.075
Inflation rate                                     0.0249      0.011      2.362      0.018       0.004       0.046
GDP                                               -0.0086      0.007     -1.181      0.237      -0.023       0.006
Marital status_1                                  -0.2120   5.99e+04  -3.54e-06      1.000   -1.17e+05    1.17e+05
Marital status_2                                   0.0122        nan        nan        nan         nan         nan
Marital status_4                                   0.1900    1.5e+05   1.27e-06      1.000   -2.93e+05    2.93e+05
Marital status_other                              -0.1012   8.99e+04  -1.13e-06      1.000   -1.76e+05    1.76e+05
Application mode_1                                 0.1319   2.71e+05   4.88e-07      1.000    -5.3e+05     5.3e+05
Application mode_7                                 0.0009    2.5e+05   3.62e-09      1.000   -4.89e+05    4.89e+05
Application mode_17                               -0.2308   2.31e+05  -9.97e-07      1.000   -4.54e+05    4.54e+05
Application mode_18                               -0.4670   2.66e+05  -1.76e-06      1.000    -5.2e+05     5.2e+05
Application mode_39                               -0.3769    2.9e+05   -1.3e-06      1.000   -5.68e+05    5.68e+05
Application mode_43                                0.3394   2.77e+05   1.23e-06      1.000   -5.42e+05    5.42e+05
Application mode_44                                0.3755   2.55e+05   1.47e-06      1.000   -5.01e+05    5.01e+05
Application mode_other                             0.1160   2.49e+05   4.65e-07      1.000   -4.88e+05    4.88e+05
Application order_1                                0.0185   4.96e+05   3.72e-08      1.000   -9.73e+05    9.73e+05
Application order_2                               -0.0511   5.83e+05  -8.76e-08      1.000   -1.14e+06    1.14e+06
Application order_3                               -0.0787   4.05e+05  -1.95e-07      1.000   -7.93e+05    7.93e+05
Application order_4                               -0.3138   5.42e+05  -5.79e-07      1.000   -1.06e+06    1.06e+06
Application order_5                               -0.3538   5.13e+05   -6.9e-07      1.000   -1.01e+06    1.01e+06
Application order_6                               -0.3143   4.48e+05  -7.02e-07      1.000   -8.78e+05    8.78e+05
Application order_other                            0.9823   6.02e+05   1.63e-06      1.000   -1.18e+06    1.18e+06
Course_171                                        -0.7461   4.49e+05  -1.66e-06      1.000    -8.8e+05     8.8e+05
Course_8014                                       -0.1095   6.88e+05  -1.59e-07      1.000   -1.35e+06    1.35e+06
Course_9003                                        0.1994   6.61e+05   3.02e-07      1.000   -1.29e+06    1.29e+06
Course_9070                                        0.0846   6.85e+05   1.24e-07      1.000   -1.34e+06    1.34e+06
Course_9085                                        0.3073   5.51e+05   5.57e-07      1.000   -1.08e+06    1.08e+06
